sentence_lemma	target_index	cluster	lemma	sentence_token	identifier
he look full into his face $ and scrutinize his feature closely $ still fail to recognize them $	5	0	face	He looked full into his face , and scrutinized his features closely , still failing to recognize them .	fic_1849_7347.txt-456-5
she go out $ and shortly after lander come in with a sort of hopeful apathy in his face $	18	0	face	She went out , and shortly after Lander came in with a sort of hopeful apathy in his face .	fic_1848_1108.txt-618-18
i hate thy face $ hate it as i do hell $	3	0	face	I hate thy face -- hate it as I do hell !	fic_1842_9749.txt-2398-3
i have escape the grave $ i know no more $ $ after a trouble sleep $ break by a frightful dream $ $ in which i see his face and the uplift knife $ i wake once more $ and become conscious that a woman 's form be slumber at my side $	29	0	face	I had escaped the grave -- I knew no more -- " After a troubled sleep , broken by a frightful dream , -- in which I saw his face and the uplifted knife -- I woke once more , and became conscious that a woman 's form was slumbering at my side .	fic_1848_7193.txt-10499-29
the eye $ as it roam around the brilliant circle $ encounter few of those vapid face which make the staple of the surroundings of an hereditary throne $	16	0	face	The eye , as it roamed around the brilliant circle , encountered few of those vapid faces which make the staple of the surroundings of an hereditary throne .	fic_1856_2880.txt-3663-16
as the carriage draw up $ they see several face at the window $ and a pocket handkerchief wave at the end of the piazza $ and as they alight $ they be welcome by	9	0	face	As the carriage drew up , they saw several faces at the window , and a pocket handkerchief waving at the end of the piazza ; and as they alighted , they were welcomed by	fic_1859_9220.txt-4741-9
in this strange dress $ and $ i suppose $ without wash her hand or face $ she visit the magnificent court of louis the fourteenth $	15	0	face	In this strange dress , and , I suppose , without washing her hands or face , she visited the magnificent court of Louis the Fourteenth .	fic_1851_2538.txt-4146-15
but for once the routiers keep faith $ the din cease in the encampment $ the light go out one by one $ and silence of dewy night fall over tent and bivouac as peacefully as if the deadly of foe be not almost array beneath it face to face $	47	0	face	But for once the routiers kept faith -- the din ceased in the encampment , the lights went out one by one , and silence of dewy night fell over tent and bivouac as peacefully as if the deadliest of foes were not almost arrayed beneath it face to face .	fic_1853_9158.txt-1194-47
the face $ too $ be not that of a common child $ the proportion be perfectly develop and of great beauty $	1	0	face	The face , too , is not that of a common child ; the proportions are perfectly developed and of great beauty .	mag_1835_565216.txt-146-1
but $ when they look into the venerable stranger 's face $ not the most thoughtless among them dare to offer him the least impertinence $	10	0	face	But , when they looked into the venerable stranger 's face , not the most thoughtless among them dared to offer him the least impertinence .	fic_1851_2538.txt-3533-10
arabella be play with enthusiasm $ it be evident she be charm with her own performance $ and her noble teacher sit beside her $ the music book open in his hand $ his small keen eye cast partly upward in admiration $ but as his glance could rest on the face of his fair pupil $ it be not certain whether her beauty or her music cause his rapture $ $	51	0	face	Arabella was playing with enthusiasm ; it was evident she was charmed with her own performance ; and her noble teacher sat beside her , the music book open in his hand , his small keen eyes cast partly upward in admiration ; but as his glance could rest on the face of his fair pupil , it was not certain whether her beauty or her music caused his raptures . "	fic_1835_7073.txt-390-51
for $ many a face do i see bathe in tear $ and other beam with smile and love $ as $ with respectful $ half-turned look $ they seem to give us their blessing $ $	4	0	face	for , many a face did I see bathed in tears , and others beaming with smiles and love , as , with respectful , half-turned looks , they seemed to give us their blessing . "	nf_1857_767292.txt-711-4
$ this be strange $ $ cry copley $ look him in the face $ which now $ as the painter fancy $ have a singular depth of intelligence $ though hitherto it have not	13	0	face	" This is strange , " cried Copley , looking him in the face , which now , as the painter fancied , had a singular depth of intelligence , though hitherto it had not	fic_1846_200.txt-2614-13
she have a kind of tender dignity in her dance $ and the delicate beauty of her face translate itself into the grace of her movement $	17	0	face	She had a kind of tender dignity in her dance , and the delicate beauty of her face translated itself into the grace of her movements .	fic_1848_1108.txt-2103-17
and far $ i have some notion of a dozen or more trimly dress youth $ with bronzed face newly shave $ and shine with their late ablution $ all this i faintly apprehend $ before the cavalcade disappear $ in a cloud of dust $	18	0	face	And further , I had some notion of a dozen or more trimly dressed youths , with bronzed faces newly shaved , and shining with their late ablutions -- all this I faintly apprehended , before the cavalcade disappeared , in a cloud of dust .	fic_1853_9040.txt-1783-18
mabel and the boy gaze in silent satisfaction at the rapt and excite child $ as $ lose in the contemplation of this panorama of ocean $ earth $ and sky $ she manifest in her face and gesture an extasy of delight such as word would have be powerless to express $	36	0	face	Mabel and the boys gazed in silent satisfaction at the rapt and excited child , as , lost in the contemplation of this panorama of ocean , earth , and sky , she manifested in her face and gestures an extasy of delight such as words would have been powerless to express .	fic_1857_9075.txt-2983-36
you may therefore imagine the amazement $ the indignation struggle into life on peter 's face $ when he behold himself defy and insult by the sublime impertinence of jacopo $ $	15	0	face	You may therefore imagine the amazement , the indignation struggling into life on Peter 's face , when he beheld himself defied and insulted by the sublime impertinence of Jacopo . "	fic_1848_7193.txt-5670-15
a quantity of blue window glass be next obtain $ and hole drill through the corner of it $ and several sheet be wire together to increase the size $ and $ when complete $ be suspend from the ceiling in its proper place $ and so arrange that when a person be sit $ this sheet of glass could be move to and from $ the object of which be to prevent shadow on the face of the sitter produce from the uneven surface of the glass $	76	0	face	A quantity of blue window glass was next obtained , and holes drilled through the corners of it , and several sheets were wired together to increase the size , and , when complete , was suspended from the ceiling in its proper place , and so arranged that when a person was sitting , this sheet of glass could be moved to and from , the object of which was to prevent shadows on the face of the sitter produced from the uneven surface of the glass .	nf_1853_748464.txt-1799-76
he install himself in his great arm-chair $ and look around $ musingly $ upon his book and paper $ as we gaze upon the face of familiar friend after a long absence $	25	0	face	He installed himself in his great arm-chair , and looked around , musingly , upon his books and papers , as we gaze upon the faces of familiar friends after a long absence .	fic_1835_7328.txt-2745-25
