sentence_lemma	sentence_token	target_index	original_word
next yard with scarcely a rag to their back $	next yard with scarcely a rag to their backs .	5	rag
when darkness come on $ sky and sea roar and split with the thunder $ and blaze with the lightning $ that show the disabled mast flutter here and there with the rag which the first fury of the	When darkness came on , sky and sea roared and split with the thunder , and blazed with the lightning , that showed the disabled masts fluttering here and there with the rags which the first fury of the	32	rag
necessity have almost drive me to the sign of the ' three martyr $ ' to see what the man of the eagle face would give me on my cap $ for they say the man at the ' three martyr ' lend money on rag such as i have $	Necessity had almost driven me to the sign of the ' Three Martyrs , ' to see what the man of the eagle face would give me on my cap , for they said the man at the ' Three Martyrs ' lent money on rags such as I had .	45	rag
its ruthless keeper have refuse them bread $ shut them into the street $ and leave them in rag scarce sufficient to cover their nakedness $ to sleep upon the cold stone $ a mute but terrible rebuke to those heart that bleed over the sorrow of africa $ but have no blood to give out when the object of pity be a poor $ heart-sick girl $ force to make the cold pavement her bed $	its ruthless keepers have refused them bread , shut them into the street , and left them in rags scarce sufficient to cover their nakedness , to sleep upon the cold stones , a mute but terrible rebuke to those hearts that bleed over the sorrows of Africa , but have no blood to give out when the object of pity is a poor , heart-sick girl , forced to make the cold pavement her bed .	18	rag
$ on some sunny day when broadway be throng with a current of fashion $ youth and beauty $ $ and $ for that matter $ rag $ old age and ugliness too $ $ when the sky be full of spring	-- On some sunny day when Broadway is thronged with a current of fashion , youth and beauty , ( and , for that matter , rags , old age and ugliness too , ) when the sky is full of spring	26	rag
after the house be all blow to piece $ the giant begin to blow at you $ and your scarlet robe all go into rag $ and you yourself come near go off a precipice $ $	After the house was all blown to pieces , the giant began to blow at you ; and your scarlet robes all went into rags , and you yourself came near going off a precipice . "	24	rag
$ $ to suckle fool and chronicle small beer $ $ kill spider $ darn rag $ and whip child $ o $ there be nothing so pleasant $	-- " To suckle fools and chronicle small beer " -- kill spiders , darn rags , and whip children -- O , there's nothing so pleasant .	15	rag
staff in hand $ the gaunt old man $ clad in rag that a beggar might have be ashamed to wear $ stand between the gazer and the light of the western sky $ his silvery hair redden at the edge by the ray of the declining sun $	staff in hand , the gaunt old man , clad in rags that a beggar might have been ashamed to wear , stood between the gazers and the light of the western sky , his silvery hair reddened at the edges by the rays of the declining sun .	11	rag
be it our wish that honest-hearted manhood $ apparelled $ it may be $ in rag $ and hold low and cheap in the world's esteem $ should $ for any reason whatever $ be rob of its suffrage $ and make to keep its peace in the presence of power $ or wealth $ or hereditary scorn $	Is it our wish that honest-hearted manhood , apparelled , it may be , in rags , and held low and cheap in the world's esteem , should , for any reason whatever , be robbed of its suffrage , and made to keep its peace in the presence of power , or wealth , or hereditary scorn ?	15	rag
ben't your mother in the house $ and haven't you a dry rag to put upon that poor child $ '	Isn't your mother in the house , and haven't you a dry rag to put upon that poor child ? '	12	rag
be to exhibit $ a walk piece of paste-board or bundle of rag $	is to exhibit -- a walking piece of paste-board or bundle of rags .	12	rag
humbly the stranger take the offer crumb yet eat not of it $ stand meek and dumb $ then lift his eye $ $ the wonder ahab see his rag fall from him as the snow in thaw $	Humbly the stranger took the offered crumb Yet ate not of it , standing meek and dumb : Then lifts his eyes , -- the wondering Ahab saw His rags fall from him as the snow in thaw .	29	rag
halt at the door of a little house $ the roof overgrow with black moss $ the window fill with rag $ and poverty write upon every shingle $ he stand for several second hesitate and shiver $	Halting at the door of a little house , the roof overgrown with black moss , the windows filled with rags , and poverty written upon every shingle , he stood for several seconds hesitating and shivering .	20	rag
porch above porch $ open out on the alley $ serve as dooryards to the different apartment $ place for the dry of miserable rag $ play-grounds for the child $ and look-out $ for the decrepit old woman $ on sunny afternoon $	Porch above porch , opening out on the alley , served as dooryards to the different apartments -- places for the drying of miserable rags -- play-grounds for the children -- and look-outs , for the decrepit old women , on sunny afternoons .	24	rag
$ pay-as-i-go $ $ respond the old man $ and at the word $ from some obscure nook of his rag $ he draw forth a crown of shining silver $ $	" Pay-As-I-Go , " responded the old man , and at the word , from some obscure nook of his rags , he drew forth a crown of shining silver . "	20	rag
as these grow apace $ they be to be see hang about the smithy bare-footed $ half cover with rag $ and with smutty face look wildly out of mop of hair $ that radiate like the beam of the sun in the image of that luminary on a country sign $	As these grew apace , they were to be seen hanging about the smithy bare-footed , half covered with rags , and with smutty faces looking wildly out of mops of hair , that radiated like the beams of the sun in the image of that luminary on a country sign .	19	rag
there be a high pleasure in his view in preachiiig to the savage $ than in share the luxury of refined society $ and in prefer the former he act upon the same principle of self-love $ as the chimney sweeper would in give up his sooty rag for the purple linen of a prince $	There is a higher pleasure in his view in preachiiig to the savages , than in sharing the luxuries of refined society ; and in preferring the former he acts upon the same principle of self-love , as the chimney sweeper would in giving up his sooty rags for the purple linen of a prince .	47	rag
it should be rub into the part affect $ by mean of a piece of rag tie to a stick $ the operator take care not to let it touch his clothes $	It should be rubbed into the parts affected , by means of a piece of rag tied to a stick , the operator taking care not to let it touch his clothes .	15	rag
thar they be $ cover with rag and dirt $ livin in house and cellar $ without hardly any furniture $ and sum of ' em without dores or winder $	Thar they was , covered with rags and dirt , livin in houses and cellars , without hardly any furniture ; and sum of ' em without dores or winders .	6	rag
this be a jewel amidst the rag of a beggar $	This is a jewel amidst the rags of a beggar .	6	rag
all be confusion for a few moment within $ when a light be strike and the muzzle of leat's fowling piece come poke through another pane $ but it be soon withdraw $ and mr.- leat himself $ in proprid persond but robe in fewer rag than he have generally oflfered to the gaze of the public $ come rush out of the door $	All was confusion for a few moments within , when a light was struck and the muzzle of Leat's fowling piece came poking through another pane ; but it was soon withdrawn , and Mr. Leat himself , in proprid persond but robed in fewer rags than he had generally oflFered to the gaze of the public , came rushing out of the door .	45	rag
one of them have rag bind round her foot $ and a pair of broken shoe $	One of them had rags bound round her feet , and a pair of broken shoes .	4	rag
in the first particular $ while the standard of intelligence and refinement among our native population be perhaps high than among our neighbor under the british crown $ they be rapidly follow our step as to popular education $ and they receive much small proportional accession than we do of a degraded foreign population $ whose brutish habit of living have a direct tendency to reduce the price of labor to what will furnish the discomfort $ smoke $ and rag of a shanty $	In the first particular , while the standard of intelligence and refinement among our native population is perhaps higher than among our neighbors under the British crown , they are rapidly following our steps as to popular education , and they receive much smaller proportional accessions than we do of a degraded foreign population , whose brutish habits of living have a direct tendency to reduce the price of labor to what will furnish the discomfort , smoke , and rags of a shanty .	80	rag
they all rush about -- the lethargic german keep pace with the energetic yankee $ and the irishman $ no long in rag $ $ guess $ and $ spekilates $ in the brogue of erin $	They all rush about -- the lethargic German keeps pace with the energetic Yankee ; and the Irishman , no longer in rags , " guesses " and " spekilates " in the brogue of Erin .	22	rag
the ' doctor $ ' a large $ dark man $ very showily dress $ comply $ and speak as follow $ $ ' as i be say $ gentleman $ i have become awfully reduce $ not a cent in my possession $ not a friend in the world $ and clothe in rag $	The ' Doctor , ' a large , dark man , very showily dressed , complied , and spoke as follows : -- ' As I was saying , gentlemen , I had become awfully reduced -- not a cent in my possession , not a friend in the world , and clothed in rags .	54	rag
whole family of man $ woman $ and child $ half naked $ barefoot $ in rag $ shiver in the cold $ lean and gaunt from hunger $ without a hut to shelter them from the storm $ or a pillow of straw whereon to lay their head $	Whole families of men , women , and children , half naked , barefoot , in rags , shivering in the cold , lean and gaunt from hunger , without a hut to shelter them from the storm , or a pillow of straw whereon to lay their heads .	16	rag
don't you know i be good for nothing $ just like a dem rag in the morning ' $ ' till i get my gin-cock-tail $	Don't you know I am good for nothing -- just like a dem rag in the mornin ' , ' till I get my gin-cock-tail ?	13	rag
however $ it be my motto never to give up $ so $ of course i gain the top at last $ and $ open a door $ find myself in a garret $ pile up as high as my waist with old rag $ and old paper $ and old bit of bone $ $	However , it's my motto never to give up ; so , of course I gained the top at last , and , opening a door , found myself in a garret , piled up as high as my waist with old rags , and old papers , and old bits of bones . "	42	rag
whatever may be the determination of the poor cultivator in bear hunger $ that he may face his other xvarits $ he be in general naked $ or cover with rag $ transmit in the family from generation to generation $	Whatever may be the determination of the poor cultivator in bearing hunger , that he may face his other xvarits , he is in general naked , or covered with rags , transmitted in the family from generation to generation .	30	rag
he have bundle of rag on his sled $ which $ perhaps $ he value $ but which can be of no service to him $	He has bundles of rags on his sled , which , perhaps , he values , but which can be of no service to him .	4	rag
* esquirol say $ of the insane in france $ $ i have see them naked or cover with rag $ with nothing but a layer of straw to protect them from the cold dampness of the ground upon which they lay $	* Esquirol says , of the insane in France , " I have seen them naked or covered with rags , with nothing but a layer of straw to protect them from the cold dampness of the ground upon which they lay .	19	rag
sailor $ strut in rag $ but whither bind $ friend $	Sailor -- Strut in rags -- But whither bound , friend ?	4	rag
anselmo they come from prince that be trafficker in rag $	ANSELMO They come From princes that are traffickers in rags .	9	rag
and the poor wretch $ clad in rag $ clutch the curtain with tremble hand $ and look $ $ while a ray of light shine upon his eyeball $ show that they flash $ grow dim with tear $ and burn into life again $	And the poor wretch , clad in rags , clutched the curtains with trembling hands , and looked , -- while a ray of light shining upon his eyeballs , showed that they flashed -- grew dim with tears -- and burned into life again .	7	rag
w could alone afford them $ she can make no head against this sea $ under that rag of canva55 $ $ say barnstable	w could alone afford them " She can make no head against this sea , under that rag of canva55 , " said Barnstable	17	rag
