sentence_lemma	sentence_token	target_index	original_word
wenn im hoch Sommer d Sonne über d Vogesen untergehen $ und d Badener Tal bis ans Hochgebirge im Hintergrund beleuchten $ so sein die eine Anblick $ die zu d groß Naturschönheit gehören $ er müssen sehen werden $ beschreiben können man er nicht $	Wenn im hohen Sommer die Sonne über die Vogesen untergeht , und das Badner Thal bis ans Hochgebirge im Hintergrund beleuchtet , so ist das ein Anblick , der zu den größten Naturschönheiten gehört ; er muß gesehen werden , beschreiben kann man ihn nicht .	32	Naturschnheit
denn d Naturschönheit müssen dann hoch sein als d Kunstschönheit $ da doch jede Prüfung dieselbe zeigen $ daß sie auf alle Punkt darum mangelhaft sein $ weil sie nicht als solch wollen sein $ weil sie von keine Bewußtsein d Schöne herrühren $	Denn die Naturschönheit müßte dann höher sein als die Kunstschönheit , da doch jede Prüfung derselben zeigt , daß sie auf allen Punkten darum mangelhaft ist , weil sie nicht als solche gewollt ist , weil sie von keinem Bewußtsein des Schönen herrührt .	2	Naturschnheit
für diese wichtig Aufgabe halten ich nämlich nicht Besichtigung von Naturschönheit $ Sehenswürdigkeit $ Seltenheit $ Kuriosität $ sondern $ Mensch $ andere sowohl als sich selbst $ gut beurteilen und behandeln zu lernen $ zu lernen $ neu Blick in d eigen Innere und in d ganz Menschenwesen zu tun $ in seine ich Mangel und ebenso Fähigkeit zu entdecken $ von die wir bisher nichts wissen $ im Mensch überhaupt d allgemein $ allerwärts wiederkehrend $ wesenhaft Grundzug von d Zufälligkeit d Individuum unterscheiden $	Für diese wichtigsten Aufgaben halte ich nämlich nicht Besichtigung von Naturschönheiten , Sehenswürdigkeiten , Seltenheiten , Curiositäten , sondern : Menschen , andere sowohl als sich selbst , besser beurtheilen und behandeln zu lernen , zu lernen , neue Blicke in das eigene Innere und in das ganze Menschenwesen zu thun , in seinem Ich Mängel und ebenso Fähigkeiten zu entdecken , von denen wir bisher nichts wußten , im Menschen überhaupt die allgemeinen , allerwärts wiederkehrenden , wesenhaften Grundzüge von den Zufälligkeiten des Individuums unterscheiden :	10	Naturschnheit
daß d Naturschönheit und d Schönheit d inner Phantasiebild nur unvollkommen Form d Verwirklichung d Schöne sein $ welche d hoch in d Kunst als ihr Voraussetzung vorangehen $ diese sollen erst im System entwickeln $ nicht in d Definition vorwegnehmen werden $	Daß die Naturschönheit und die Schönheit des innern Phantasiebildes nur unvollkommene Formen der Verwirklichung des Schönen sind , welche der höheren in der Kunst als ihre Voraussetzungen vorangehen : dies soll erst im Systeme entwickelt , nicht in der Definition vorweggenommen werden .	2	Naturschnheit
wie weit auch d unorganisch Natur im Reiche d wirklich Idee als Inhalt d Schöne berechtigen sein $ werden sich in d Lehre von d Naturschönheit zeigen $	Wie weit auch die unorganische Natur im Reiche der wirklichen Idee als Inhalt des Schönen berechtigt sey , wird sich in der Lehre von der Naturschönheit zeigen .	25	Naturschnheit
wir gehen eine ander Weg und diese bringen es mit sich $ daß d $ bereits auf d weit System hinausweisen $ darauf nämlich $ daß d Naturschönheit bestimmen sein $ sich in d Phantasie und Kunst aufheben $	Wir gehen einen andern Weg und dieser bringt es mit sich , daß der §. bereits auf das weitere System hinausweist , darauf nämlich , daß die Naturschönheit bestimmt ist , sich in die Phantasie und Kunst aufzuheben .	27	Naturschnheit
daß nun d Naturschönheit als eine schlechthin $ so scheinen es wenigstens vorerst $ vorgefinden $ unmittelbar und in d doppelt Sinn d $ $ objektiv Form d real Existenz d Schöne zuerst zu setzen sein $ sollen selbst von diejenige zugeben sein $ welche d Welt aus d Theismus konstruieren $ denn d Wendung stehen sie immer noch frei $ daß d göttlich Verstand und Wille beschließen haben $ d geistig Schöpfung d natürlich zur Voraussetzung zu geben $ und ebenso $ in d Sphäre d Schönheit $ d menschlich Künstlergeist d Naturschönheit als seine Vorlage voranschicken $	Daß nun die Naturschönheit als eine schlechthin ( so scheint es wenigstens vorerst ) vorgefundene , unmittelbare und in dem doppelten Sinn des § . objective Form der realen Existenz des Schönen zuerst zu setzen sei , sollte selbst von denjenigen zugegeben sein , welche die Welt aus dem Theismus construiren ; denn die Wendung steht ihnen immer noch frei , daß der göttliche Verstand und Wille beschloßen habe , der geistigen Schöpfung die natürliche zur Voraussetzung zu geben , und ebenso , in der Sphäre der Schönheit , dem menschlichen Künstlergeiste die Naturschönheit als seine Vorlage voranzuschicken .	3	Naturschnheit
d Naturschönheit diese Berg nehmen uns völlig in Anspruch $ und so werden wir erst am Ende gewahr $ daß wir d gut gastfreundlich Mönch zur Last fallen $	Die Naturschönheiten dieser Berge nahmen uns völlig in Anspruch , und so wurden wir erst am Ende gewahr , daß wir den guten gastfreundlichen Mönchen zur Last fielen .	1	Naturschnheit
5. Provinz Setsu $ d volkreich und jetzt wichtig im Kinai $ steigen vom flach Strand zwischen Hiogo und Osaka zu 6--700 Meter hoch bewaldet Berg gen Westen empor und sein in diese Teil gleich Yamato und Yamashiro reich an Naturschönheit $	5. Provinz Setsu , die volkreichste und jetzt wichtigste im Kinai , steigt vom flachen Strande zwischen Hiogo und Ôsaka zu 6—700 Meter hohen bewaldeten Bergen gen Westen empor und ist in diesem Theile gleich Yamato und Yamashiro reich an Naturschönheiten .	40	Naturschnheit
d bloß Innerlichkeit sein noch eine Mangel $ und während man meinen sollen $ diese Mangel werden eben durch d hoch Objektivität d Kunst tilgen $ so sein vielmehr d letzte und hoch Station d in d Welt schimmernd absolut Geist d Naturschönheit $	Die bloße Innerlichkeit ist noch ein Mangel , und während man meinen sollte , dieser Mangel werde eben durch die höhere Objectivität der Kunst getilgt , so ist vielmehr die letzte und höchste Station des in die Welt schimmernden absoluten Geistes die Naturschönheit .	42	Naturschnheit
ebenso sein es in d Ästhetik neu $ daß diese Durchwanderung d Geschichte zu ihr Aufgabe $ daß in d Lehre von d Naturschönheit auch eine Physiognomik d Geschichte gehören $	Ebenso ist es in der Aesthetik neu , daß diese Durchwanderung der Geschichte zu ihren Aufgaben , daß in die Lehre von der Naturschönheit auch eine Physiognomik der Geschichte gehört .	23	Naturschnheit
in diese bodenlos Idealismus geraten man $ wenn man vom Selbst ausgehen und es nicht nur unterlassen haben $ er vorher d Naturschönheit Unterzubereiten $ sondern auch weiterhin unterlassen $ er eine bestimmt naturschön als jeweilig Gegenstand so zu geben $ daß es diese Gegenstand und in er seine $ d Gegenstand $ Idee ergreifen $ in d eigen Geist $ die subjektiv Idee eben d rein Idee d Gegenstand sein $ aufnehmen und er hier denselben Gehalt $ die in er vorliegen $ als eine subjektiv unendlich zuführen $	In diesen bodenlosen Idealismus geräth man , wenn man vom Selbst ausgeht und es nicht nur unterlassen hat , ihm vorher die Naturschönheit unterzubreiten , sondern auch weiterhin unterläßt , ihm ein bestimmtes Naturschönes als jeweiligen Gegenstand so zu geben , daß es diesen Gegenstand und in ihm seine , des Gegenstands , Idee ergreift , in den eigenen Geist , dessen subjective Ideen eben die reinen Ideen der Gegenstände sind , aufnimmt und ihm hier denselben Gehalt , der in ihm vorliegt , als einen subjectiv unendlichen zuführt .	22	Naturschnheit
ehe ich von d Gang scheiden $ müssen ich bemerken $ daß ich auf d ganz Reise von ungefähr tausend Meile nicht eine einzig Stelle finden haben $ die sich durch besondere Naturschönheit auszeichnen oder eine pittoresk Ansicht gewähren haben $	Ehe ich von dem Ganges scheide , muß ich bemerken , daß ich auf der ganzen Reise von ungefähr tausend Meilen nicht eine einzige Stelle gefunden habe , die sich durch besondere Naturschönheit ausgezeichnet oder eine pittoreske Ansicht gewährt hätte .	32	Naturschnheit
Jaromir und Elisabeth haben eine Weile stumm neben einander sitzen und bewundernd und entzückt Blick auf d reich Naturschönheit diese Landschaft werfen $	Jaromir und Elisabeth hatten eine Weile stumm neben einander gesessen und bewundernde und entzückte Blicke auf die reichen Naturschönheiten dieser Landschaft geworfen .	18	Naturschnheit
übrigens verstehen sich $ daß in eine solch gegeben Ganze allerdings Produkt d Technik $ Kleid $ Pferdezeug $ Fahne $ Mauerverkleidung mit d Licht d Sonne $ d Feuer $ d Farbe d Erde $ d pflanzen- $ d Tierwelt und d Kolorit d menschlich Leib zusammenwirken können $ ohne daß wir darum d Gebiet d Naturschönheit verlassen $ denn jen Produkt d Kunstfleiß sein in diese Zusammenhäng $ wiewohl an sich beabsichtigen $ zufällig Schönheit $	Uebrigens versteht sich , daß in einem solchen gegebenen Ganzen allerdings Producte der Technik , Kleider , Pferdezeug , Fahnen , Mauerverkleidungen mit dem Licht der Sonne , des Feuers , den Farben der Erde , der Pflanzen- , der Thierwelt und dem Colorit des menschlichen Leibes zusammenwirken können , ohne daß wir darum das Gebiet der Naturschönheit verlassen , denn jene Producte des Kunstfleißes sind in diesem Zusammenhang , wiewohl an sich beabsichtigt , zufällige Schönheit .	57	Naturschnheit
