sentence_lemma	target_index	cluster	lemma	sentence_token	identifier
stand in the room $ one look past the place of libation $ wink with reflect firelight and candlelight $ out into the cold rain that march in slant pencil stroke across the lawn and pelt the window $ and one feel as snug and warm and safe as if one be in the cabin of some stout ship at sea $	30	1	stroke	Standing in the room , one looked past the place of libation , winking with reflected firelight and candlelight , out into the cold rain that marched in slanting pencil strokes across the lawn and pelted the windows , and one felt as snug and warm and safe as if one were in the cabin of some stout ship at sea .	fic_1974_10580.txt-7446-30
the vertical fold of the slightly darke pull drape $ and reproduction of wyeth watercolor light by spot on track lighting overhead echo with scratchy stroke the same tint $ and the same lighting reveal little sparkle $ like mica on a beach $ in the overlap arc of the rough-plastered ceiling $	25	1	stroke	the vertical folds of the slightly darker pull drapes , and reproductions of Wyeth watercolors lit by spots on track lighting overhead echo with scratchy strokes the same tints , and the same lighting reveals little sparkles , like mica on a beach , in the overlapping arcs of the rough-plastered ceiling .	fic_1981_10681.txt-5565-25
now she stroke red $ yellow $ and brown pigment into a thick smear of white lead paint on her palette until it turn a pale flesh color $	2	2	stroke	Now she strokes red , yellow , and brown pigments into a thick smear of white lead paint on her palette until it turns a pale flesh color .	fic_2001_28191.txt-201-2
$ than the voice advise her $ those voice at last return like water in the desert $ like manna in the mouth $ honey in the horn of self $ warm hand to hold hers in the terror and the cold $ cold as the body on the stone of gethsemane $ the water run out $ the casting of lots $ the dark and the noise of the soldier $ that pain be for all its magnitude a kindly figure as it stroke and stroke her body with iron claw $ claw as clear as water $ bright and hopeful claw to claim her and make her their own $ just she and the shape of god itself $ hammer to the stone and fly wood $ $	84	2	stroke	, than the voices advised her , those voices at last returned like water in the desert , like manna in the mouth , honey in the horn of self , warm hands to hold hers in the terror and the cold , cold as the body on the stones of Gethsemane , the waters running out , the casting of lots , the dark and the noise of the soldiers : that pain is for all its magnitude a kindly figure as it strokes and strokes her body with iron claws , claws as clear as water , bright and hopeful claws to claim her and make her their own : just she and the shape of God itself , hammered to the stones and flying wood . "	fic_1997_54633.txt-176-84
i start to glide in and out in short stroke $	9	3	stroke	I started to glide in and out in short strokes .	fic_2008_36181.txt-116-9
i mean i either stroke faster than i kick or vica versa $	4	3	stroke	I mean I either stroke faster than I kick or vica versa .	fic_1966_14323.txt-494-4
with one smooth motion $ he slide facedown onto the center ofthe deck he pull his arm through the water in even stroke $ paddle away from shore $	22	3	stroke	With one smooth motion , he slid facedown onto the center ofthe deck He pulled his arms through the water in even strokes , paddling away from shore .	fic_2006_28088.txt-18-22
cal $ the lighter crew $ get off to its usual fast start $ rowing 40 stroke a minute for the first 500 meter $	16	5	stroke	Cal , the lighter crew , got off to its usual fast start , rowing 40 strokes a minute for the first 500 meters .	mag_1978_431951.txt-54-16
everywhere there be representative tom delay $ house republican whip $ chief money pumper and master of the revel $ who spend the week stroke donor in a series of private vintage railway car $ which just happen to be the defining perk of the robber baron of the last gilded age $	24	6	stroke	Everywhere there was Representative Tom DeLay , House Republican whip , chief money pumper and master of the revels , who spent the week stroking donors in a series of private vintage railway cars , which just happened to be the defining perk of the robber barons of the last Gilded Age .	mag_2000_368013.txt-19-24
the pop if you be stoke to stroke $ launch your boat from ely $ an old mine town that charles kuralt once call the number one vacation destination in america $	7	6	stroke	The Pop If you 're stoked to stroke , launch your boat from Ely , an old mining town that Charles Kuralt once called the number one vacation destination in America .	mag_2004_414155.txt-34-7
it hit he chop off his log withthe fury of a greek god nevertheless it take himlonger and much more sweat than monsanto $ use to do this in a workgang in southern arizony $ he say $ whop one down that make the whole treetrunk danceoff the ground but it be like an example of vast butsenseless strength $ a picture of poor cody 's life and in asense my own i too chop with all my might andgot mad and go faster and rake the log but tookmore time than monsanto who watch us smile little arthur thereupon try his luck but give up afterfive stroke the axe be like to carry him away anyway then dave wain demonstrate with big easystrokes and in no time we have five huge log to use but now it be time to get in the car $ mclear have rearrived $ and go drive south down the coast highway to a hot springs bath house down there $ which sound good to me at first $	107	6	stroke	it hit He chopped off his log withthe fury of a Greek god Nevertheless it took himlonger and much more sweat than Monsanto " Used to do this in a workgang in southern Arizony " he said , whopping one down that made the whole treetrunk danceoff the ground But it was like an example of vast butsenseless strength , a picture of poor Cody 's life and in asense my own I too chopped with all my might andgot madder and went faster and raked the log but tookmore time than Monsanto who watched us smiling Little Arthur thereupon tried his luck but gave up afterfive strokes The axe was like to carry him away anyway Then Dave Wain demonstrated with big easystrokes and in no time we had five huge logs to use But now it was time to get in the cars ( McLear had rearrived ) and go driving south down the coast highway to a hot springs bath house down there , which sounded good to me at first .	fic_1962_10420.txt-3658-107
she stroke them $ and as with the first group $ they stroke her in turn-tor about thirty second $	12	7	stroke	She stroked them - and as with the first group , they stroked her in turn-tor about thirty seconds .	mag_2007_388758.txt-70-12
i91the listenercould n't live without that happiness $ and phil $ and him stroke my hair on the pillow and tell me i be pretty and that i be all his love and there be never go to be anyone else $	13	7	stroke	I91The Listenercould n't live without that happiness , and Phil , and him stroking my hair on the pillow and telling me I was pretty and that I was all his love and there was never going to be anyone else .	fic_1960_10402.txt-4131-13
she pat his head and stroke his nose with one finger $ and offer him the rest of her bread crust $ which she have put in her apron pocket $	5	7	stroke	She patted his head and stroked his nose with one finger , and offered him the rest of her bread crust , which she had put in her apron pocket .	mag_1998_399709.txt-139-5
i stroke its muzzle with the back of my hand and pull out a rock that have lodge in its mouth with the broken tooth $	1	7	stroke	I stroked its muzzle with the back of my hand and pulled out a rock that had lodged in its mouth with the broken teeth .	mag_1999_407884.txt-205-1
