sentence_lemma	sentence_token	index_lemma	index_token	lemma
Johanna lassen alle ander Arbeit stehen und liegen $ bereiten heiß Wasse $ und versuchen $ d schwarz Schmiere damit zu entfernen $	Johanna ließ alle anderen Arbeiten stehn und liegen , bereitete heißes Wasse . und versuchte , die schwarze Schmiere damit zu entfernen .	18	18	Schmiere
d braun Schmiere hinterlassen Fleck $ die sich aus d Kleidungsstück kaum mehr entfernen lassen $	Die braune Schmiere hinterläßt Flecke , die sich aus den Kleidungsstücken kaum mehr entfernen lassen .	2	2	Schmiere
die bedeuten $ daß zuerst d Maschine durch d Betriebsingenieur auf ihr Leistungsfähigkeit prüfen werden und daß eine genau Anleitung über d Ölen und Schmiere d Maschine geben werden $	Das bedeutet , daß zuerst die Maschinen durch die Betriebsingenieure auf ihre Leistungsfähigkeit geprüft werden und daß eine genaue Anleitung über das Ölen und Schmieren der Maschinen gegeben wird .	24	24	Schmiere
in eine Temperatur von über dreißig Grad $ in eine Inferno von dröhnend $ knatternd und gellend Laute $ d nackt Schulter am zuckend Gerät $ bedeckt von eine Schmiere aus Gesteinsstaub und Wasser $ denn d Bohrer laufen in Wasser $ vollbringen d Aktivist diese Kameradschaft tagein $ tagaus ihr Schicht $	In einer Temperatur von über dreißig Grad , in einem Inferno von dröhnenden , knatternden und gellenden Lauten , die nackte Schulter am zuckenden Gerät , bedeckt von einer Schmiere aus Gesteinsstaub und Wasser — denn die Bohrer laufen in Wasser — vollbringen die Aktivisten dieser Kameradschaft tagein , tagaus ihre Schicht .	29	29	Schmiere
alle früh Rechenmaschine beruhen auf rein mechanisch Vorgang $ die Geschwindigkeit sich durch klug Konstruktion und fleißig Schmiere steigern lassen $ jedoch an d leidig Trägheit d Material eine unüberwindlich Schranke finden $	Alle früheren Rechenmaschinen beruhen auf rein mechanischen Vorgängen , deren Geschwindigkeit sich durch kluge Konstruktion und fleißiges Schmieren steigern läßt , jedoch an der leidigen Trägheit des Materials eine unüberwindliche Schranke findet .	17	17	Schmiere
sie sein d richtig Reinigungsmittel für $ alle $ die mit ölen und Schmiere zu tun haben $	Sie ist das richtige Reinigungsmittel für . alle , die mit öl und Schmiere zu tun haben .	13	13	Schmiere
$ d Qualm kleben wie eine schlei- $ Nige $ fett Schmiere auf d Haut $	„ Der Qualm klebt wie eine schlei- ¦ nige , fette Schmiere auf der Haut .	11	11	Schmiere
können du Vorschlag machen $ d Verbrauch an Schmiere und Ql ?u verringern $	Kannst du Vorschlage machen , den Verbrauch an Schmiere und Ql ?u verringern ?	8	8	Schmiere
Märchenspiel von Kasten Film d d Sowjetunion $ nehmend 17.00 Fett und Schmiere Besuch d MMM Pawel Maljarewski 17.00 $ f $ Nachricht Kinderfernsehen 17.25 $ f $ Nachricht Geschichte Stummfilmgroteske in Leipzig 15.40 $ f $ d neu straßen- 17.03 $ f $ Quedlinburg 18.00 $ f $ Medizin nach 17.30 $ f $ sieben Seite dec 16.30 $ f $ Sturm auf d 18.00 $ f $ Medizin nach Verkehrsordnung $ 3 $	Märchenspiel von kasten Film des der Sowjetunion ■ nehmenden 17.00 Fett und Schmiere Besuch der MMM Pawel Maljarewski 17.00 ( F ) Nachrichten Kinderfernsehens 17.25 ( F ) Nachrichten Geschichten Stummfilmgrotesken in Leipzig 15.40 ( F ) Die neue Straßen- 17.03 ( F ) Quedlinburg 18.00 ( F ) Medizin nach 17.30 ( F ) Sieben Seiten dec 16.30 ( F ) Sturm auf den 18.00 ( F ) Medizin nach verkehrsordnung ( 3 )	12	12	Schmiere
bei d deutsch Reichsbahn können durch Venwendung von Tha d Frist für d Schmiere d Achserollenlager von 50000 auf 400000 Fahrkilometer erhöhen werden $	Bei der Deutschen Reichsbahn konnte durch Venwendung von THA die Frist für das Schmieren der Achsrollenlager von 50000 auf 400000 Fahrkilometer erhöht werden .	13	13	Schmiere
