sentence_lemma	target_index	cluster	lemma	sentence_token	identifier
next yard with scarcely a rag to their back $	5	0	rag	next yard with scarcely a rag to their backs .	fic_1843_7208.txt-9818-5
when darkness come on $ sky and sea roar and split with the thunder $ and blaze with the lightning $ that show the disabled mast flutter here and there with the rag which the first fury of the	32	1	rag	When darkness came on , sky and sea roared and split with the thunder , and blazed with the lightning , that showed the disabled masts fluttering here and there with the rags which the first fury of the	fic_1851_746.txt-9213-32
necessity have almost drive me to the sign of the ' three martyr $ ' to see what the man of the eagle face would give me on my cap $ for they say the man at the ' three martyr ' lend money on rag such as i have $	45	2	rag	Necessity had almost driven me to the sign of the ' Three Martyrs , ' to see what the man of the eagle face would give me on my cap , for they said the man at the ' Three Martyrs ' lent money on rags such as I had .	fic_1856_1281.txt-1432-45
its ruthless keeper have refuse them bread $ shut them into the street $ and leave them in rag scarce sufficient to cover their nakedness $ to sleep upon the cold stone $ a mute but terrible rebuke to those heart that bleed over the sorrow of africa $ but have no blood to give out when the object of pity be a poor $ heart-sick girl $ force to make the cold pavement her bed $	18	3	rag	its ruthless keepers have refused them bread , shut them into the street , and left them in rags scarce sufficient to cover their nakedness , to sleep upon the cold stones , a mute but terrible rebuke to those hearts that bleed over the sorrows of Africa , but have no blood to give out when the object of pity is a poor , heart-sick girl , forced to make the cold pavement her bed .	fic_1856_1281.txt-5311-18
$ on some sunny day when broadway be throng with a current of fashion $ youth and beauty $ $ and $ for that matter $ rag $ old age and ugliness too $ $ when the sky be full of spring	26	4	rag	-- On some sunny day when Broadway is thronged with a current of fashion , youth and beauty , ( and , for that matter , rags , old age and ugliness too , ) when the sky is full of spring	fic_1853_9200.txt-4849-26
after the house be all blow to piece $ the giant begin to blow at you $ and your scarlet robe all go into rag $ and you yourself come near go off a precipice $ $	24	4	rag	After the house was all blown to pieces , the giant began to blow at you ; and your scarlet robes all went into rags , and you yourself came near going off a precipice . "	fic_1854_9826.txt-2995-24
$ $ to suckle fool and chronicle small beer $ $ kill spider $ darn rag $ and whip child $ o $ there be nothing so pleasant $	15	4	rag	-- " To suckle fools and chronicle small beer " -- kill spiders , darn rags , and whip children -- O , there 's nothing so pleasant .	fic_1823_7246.txt-4692-15
staff in hand $ the gaunt old man $ clad in rag that a beggar might have be ashamed to wear $ stand between the gazer and the light of the western sky $ his silvery hair redden at the edge by the ray of the declining sun $	11	4	rag	staff in hand , the gaunt old man , clad in rags that a beggar might have been ashamed to wear , stood between the gazers and the light of the western sky , his silvery hair reddened at the edges by the rays of the declining sun .	fic_1848_7193.txt-9888-11
be it our wish that honest-hearted manhood $ apparelled $ it may be $ in rag $ and hold low and cheap in the world 's esteem $ should $ for any reason whatever $ be rob of its suffrage $ and make to keep its peace in the presence of power $ or wealth $ or hereditary scorn $	15	4	rag	Is it our wish that honest-hearted manhood , apparelled , it may be , in rags , and held low and cheap in the world 's esteem , should , for any reason whatever , be robbed of its suffrage , and made to keep its peace in the presence of power , or wealth , or hereditary scorn ?	fic_1843_7208.txt-12969-15
be n't your mother in the house $ and have n't you a dry rag to put upon that poor child $ '	14	4	rag	Is n't your mother in the house , and have n't you a dry rag to put upon that poor child ? '	fic_1856_5515.txt-1284-14
