sentence_lemma	target_index	cluster	lemma	sentence_token	identifier
flower pass the tree a few foot $ and rest her delicate foot upon a stone of singular appearance $ $	3	1	tree	Flower passed the tree a few feet , and rested her delicate foot upon a stone of singular appearance . "	fic_1849_7006.txt-2460-3
but when a graft be take from one of these tree $ and place upon another stock $ this graft tree be find to lose its singular power of produce the same by seed $ and become like all other work tree	41	1	tree	But when a graft is taken from one of these trees , and placed upon another stock , this grafted tree is found to lose its singular power of producing the same by seed , and becomes like all other worked trees	nf_1845_747928.txt-48-41
onward he toil $ sadly and doubtfully $ frequently disturb by some crackle above him $ as the young panther $ snuff his approach $ leap along from tree to tree $ and rock to rock $ and start ever and anon $ as if some creature of the upward element be at his elbow $	30	1	tree	Onward he toiled , sadly and doubtfully , frequently disturbed by some crackling above him , as the young panthers , snuffing his approach , leaped along from tree to tree , and rock to rock : and starting ever and anon , as if some creature of the upward element were at his elbow .	fic_1822_7243.txt-2784-30
hasten to a little knob $ which give them a wide prospect in the direction of the sound $ they look carefully through the tree on each side of them $ and great be their horror $ when they see shoonshoone stand close by a thicket $ his gun $ which he have just discharge $ by his side $ and a huge bear with an angry howl rush upon him $	24	1	tree	Hastening to a little knob , which gave them a wide prospect in the direction of the sound , they looked carefully through the trees on each side of them , and great was their horror , when they saw Shoonshoone standing close by a thicket , his gun , which he had just discharged , by his side , and a huge bear with an angry howl rushing upon him .	fic_1848_7009.txt-3202-24
find no tree on the strand $ we stick our oar in the ground $ and to these we fasten our hammock $	2	1	tree	Finding no tree on the strand , we stuck our oars in the ground , and to these we fastened our hammocks .	nf_1849_755107.txt-2709-2
in select plant for pyramid tree $ choose those that have branch or branch-spurs within a foot of the ground $ and fairly distribute along the stem $	5	1	tree	In selecting plants for pyramid trees , choose those that have branches or branch-spurs within a foot of the ground , and fairly distributed along the stem .	nf_1858_747890.txt-792-5
in a few minute from the time they halt $ they have finish their preparation for pass the night here $ the horse be loose to graze and rest themselves $ a hasty $ rude shelter make from green bough $ which they cut from the tree $ be prepare for coquese $ and a bed of the same $ arrange for her $	46	1	tree	In a few minutes from the time they halted , they had finished their preparations for passing the night here ; the horses were loosed to graze and rest themselves , a hasty , rude shelter made from green boughs , which they cut from the trees , was prepared for Coquese , and a bed of the same , arranged for her .	fic_1848_7009.txt-3726-46
day of care be mete to him $ and long night of grief weigh have out $ and then that little $ wail one go to her mother 's bosom $ and sleep sweet ' neath the cool branch of the hopia- tree $ '	42	1	tree	Days of care Were meted to him , and long nights of grief Weigh 'd out , and then that little , wailing one Went to her mother 's bosom , and slept sweet ' Neath the cool branches of the Hopia- tree . '	fic_1837_8325.txt-1062-42
the low murmur of the little stream along which we ride $ the wind that sigh through the naked branch of the tree $ the rustle of the fall leaf over which we pass $ all seem to speak a voice of warning to my fearful spirit $ $	22	1	tree	The low murmurs of the little stream along which we rode -- the wind that sighed through the naked branches of the trees -- the rustling of the fallen leaves over which we passed , all seemed to speak a voice of warning to my fearful spirit . "	fic_1824_7278.txt-989-22
<nul> page image hic fructus virtutis $ clifton waller barrett - paste-down endpaper with bookplate $ heraldry figure with a green tree on top and shield below $	21	1	tree	@@2219 Page image Hic Fructus Virtutis ; Clifton Waller Barrett - Paste-Down Endpaper with Bookplate : heraldry figure with a green tree on top and shield below .	fic_1854_9218.txt-0-21
